============================================================
PPO Training Summary
============================================================

Training Time: 20251217_131313
Total Updates: 1200
Total Samples: 36000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 121: Return=-2029.32, Acceptance=93.33%, Samples=30
Update 122: Return=-2464.34, Acceptance=93.33%, Samples=30
Update 123: Return=-1883.91, Acceptance=96.67%, Samples=30
Update 124: Return=-1837.18, Acceptance=93.33%, Samples=30
Update 125: Return=-1800.69, Acceptance=96.67%, Samples=30
Update 126: Return=-2429.91, Acceptance=93.33%, Samples=30
Update 127: Return=-1085.85, Acceptance=93.33%, Samples=30
Update 128: Return=-1320.92, Acceptance=93.33%, Samples=30
Update 129: Return=-1422.02, Acceptance=96.67%, Samples=30
Update 130: Return=-1478.79, Acceptance=93.33%, Samples=30
Update 131: Return=-2164.06, Acceptance=93.33%, Samples=30
Update 132: Return=-1499.48, Acceptance=96.67%, Samples=30
Update 133: Return=-1276.97, Acceptance=96.67%, Samples=30
Update 134: Return=-2128.28, Acceptance=93.33%, Samples=30
Update 135: Return=-1694.76, Acceptance=93.33%, Samples=30
Update 136: Return=-1755.78, Acceptance=96.67%, Samples=30
Update 137: Return=-1037.95, Acceptance=96.67%, Samples=30
Update 138: Return=-1858.37, Acceptance=93.33%, Samples=30
Update 139: Return=-1301.32, Acceptance=93.33%, Samples=30
Update 140: Return=-1492.53, Acceptance=93.33%, Samples=30
Update 141: Return=-1265.46, Acceptance=93.33%, Samples=30
Update 142: Return=-1503.33, Acceptance=93.33%, Samples=30
Update 143: Return=-1503.93, Acceptance=93.33%, Samples=30
Update 144: Return=-2039.22, Acceptance=93.33%, Samples=30
Update 145: Return=-2262.28, Acceptance=96.67%, Samples=30
Update 146: Return=-1036.11, Acceptance=93.33%, Samples=30
Update 147: Return=-2135.67, Acceptance=93.33%, Samples=30
Update 148: Return=-1969.88, Acceptance=93.33%, Samples=30
Update 149: Return=-1248.08, Acceptance=93.33%, Samples=30
Update 150: Return=-1325.60, Acceptance=96.67%, Samples=30
Update 151: Return=-1765.14, Acceptance=96.67%, Samples=30
Update 152: Return=-1717.15, Acceptance=93.33%, Samples=30
Update 153: Return=-1021.10, Acceptance=96.67%, Samples=30
Update 154: Return=-2193.30, Acceptance=93.33%, Samples=30
Update 155: Return=-1665.86, Acceptance=93.33%, Samples=30
Update 156: Return=-2046.00, Acceptance=93.33%, Samples=30
Update 157: Return=-1230.96, Acceptance=93.33%, Samples=30
Update 158: Return=-2128.84, Acceptance=96.67%, Samples=30
Update 159: Return=-1549.24, Acceptance=93.33%, Samples=30
Update 160: Return=-2629.99, Acceptance=93.33%, Samples=30
Update 161: Return=-1826.16, Acceptance=96.67%, Samples=30
Update 162: Return=-1802.32, Acceptance=96.67%, Samples=30
Update 163: Return=-1608.24, Acceptance=93.33%, Samples=30
Update 164: Return=-1937.64, Acceptance=93.33%, Samples=30
Update 165: Return=-1889.79, Acceptance=93.33%, Samples=30
Update 166: Return=-1107.09, Acceptance=93.33%, Samples=30
Update 167: Return=-1696.54, Acceptance=93.33%, Samples=30
Update 168: Return=-1488.30, Acceptance=93.33%, Samples=30
Update 169: Return=-1534.50, Acceptance=93.33%, Samples=30
Update 170: Return=-1334.79, Acceptance=96.67%, Samples=30
Update 171: Return=-1872.96, Acceptance=93.33%, Samples=30
Update 172: Return=-2280.09, Acceptance=93.33%, Samples=30
Update 173: Return=-1711.60, Acceptance=93.33%, Samples=30
Update 174: Return=-1684.26, Acceptance=96.67%, Samples=30
Update 175: Return=-2192.06, Acceptance=93.33%, Samples=30
Update 176: Return=-2642.95, Acceptance=93.33%, Samples=30
Update 177: Return=-1892.79, Acceptance=93.33%, Samples=30
Update 178: Return=-1665.66, Acceptance=93.33%, Samples=30
Update 179: Return=-2227.09, Acceptance=96.67%, Samples=30
Update 180: Return=-1705.25, Acceptance=93.33%, Samples=30
Update 181: Return=-2026.80, Acceptance=93.33%, Samples=30
Update 182: Return=-1650.00, Acceptance=96.67%, Samples=30
Update 183: Return=-2297.84, Acceptance=96.67%, Samples=30
