============================================================
PPO Training Summary
============================================================

Training Time: 20251217_134109
Total Updates: 1200
Total Samples: 36000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 140: Return=-1488.85, Acceptance=93.33%, Samples=30
Update 141: Return=-1108.84, Acceptance=96.67%, Samples=30
Update 142: Return=-1510.46, Acceptance=93.33%, Samples=30
Update 143: Return=-1721.20, Acceptance=93.33%, Samples=30
Update 144: Return=-2693.65, Acceptance=93.33%, Samples=30
Update 145: Return=-2034.84, Acceptance=96.67%, Samples=30
Update 146: Return=-1016.73, Acceptance=93.33%, Samples=30
Update 147: Return=-2435.78, Acceptance=93.33%, Samples=30
Update 148: Return=-1969.88, Acceptance=93.33%, Samples=30
Update 149: Return=-1385.48, Acceptance=93.33%, Samples=30
Update 150: Return=-1325.60, Acceptance=96.67%, Samples=30
Update 151: Return=-1835.86, Acceptance=93.33%, Samples=30
Update 152: Return=-1677.97, Acceptance=93.33%, Samples=30
Update 153: Return=-1935.46, Acceptance=93.33%, Samples=30
Update 154: Return=-2193.30, Acceptance=93.33%, Samples=30
Update 155: Return=-1665.86, Acceptance=93.33%, Samples=30
Update 156: Return=-1983.55, Acceptance=93.33%, Samples=30
Update 157: Return=-1230.96, Acceptance=93.33%, Samples=30
Update 158: Return=-2273.45, Acceptance=93.33%, Samples=30
Update 159: Return=-1549.24, Acceptance=93.33%, Samples=30
Update 160: Return=-2329.17, Acceptance=96.67%, Samples=30
Update 161: Return=-1826.16, Acceptance=96.67%, Samples=30
Update 162: Return=-1580.03, Acceptance=93.33%, Samples=30
Update 163: Return=-1608.24, Acceptance=93.33%, Samples=30
Update 164: Return=-1892.73, Acceptance=93.33%, Samples=30
Update 165: Return=-1835.10, Acceptance=96.67%, Samples=30
Update 166: Return=-1107.09, Acceptance=93.33%, Samples=30
Update 167: Return=-1693.68, Acceptance=93.33%, Samples=30
Update 168: Return=-1488.30, Acceptance=93.33%, Samples=30
Update 169: Return=-1870.33, Acceptance=93.33%, Samples=30
Update 170: Return=-1337.12, Acceptance=96.67%, Samples=30
Update 171: Return=-1872.96, Acceptance=93.33%, Samples=30
Update 172: Return=-2280.09, Acceptance=93.33%, Samples=30
Update 173: Return=-1955.37, Acceptance=93.33%, Samples=30
Update 174: Return=-1802.28, Acceptance=96.67%, Samples=30
Update 175: Return=-2187.75, Acceptance=93.33%, Samples=30
Update 176: Return=-1913.85, Acceptance=93.33%, Samples=30
Update 177: Return=-1892.79, Acceptance=93.33%, Samples=30
Update 178: Return=-1300.66, Acceptance=96.67%, Samples=30
Update 179: Return=-2362.87, Acceptance=93.33%, Samples=30
Update 180: Return=-1736.52, Acceptance=93.33%, Samples=30
Update 181: Return=-2023.45, Acceptance=93.33%, Samples=30
Update 182: Return=-1650.00, Acceptance=96.67%, Samples=30
Update 183: Return=-2297.84, Acceptance=96.67%, Samples=30
Update 184: Return=-1937.83, Acceptance=96.67%, Samples=30
Update 185: Return=-1169.35, Acceptance=93.33%, Samples=30
Update 186: Return=-1888.68, Acceptance=93.33%, Samples=30
Update 187: Return=-1482.41, Acceptance=93.33%, Samples=30
Update 188: Return=-2062.99, Acceptance=93.33%, Samples=30
Update 189: Return=-2400.76, Acceptance=96.67%, Samples=30
Update 190: Return=-2183.58, Acceptance=93.33%, Samples=30
Update 191: Return=-2223.79, Acceptance=96.67%, Samples=30
Update 192: Return=-1518.60, Acceptance=93.33%, Samples=30
Update 193: Return=-1068.41, Acceptance=96.67%, Samples=30
Update 194: Return=-2499.67, Acceptance=93.33%, Samples=30
Update 195: Return=-1571.15, Acceptance=93.33%, Samples=30
Update 196: Return=-2271.52, Acceptance=96.67%, Samples=30
Update 197: Return=-1262.52, Acceptance=93.33%, Samples=30
Update 198: Return=-2151.76, Acceptance=93.33%, Samples=30
Update 199: Return=-2389.12, Acceptance=93.33%, Samples=30
Update 200: Return=-1324.35, Acceptance=93.33%, Samples=30
Update 201: Return=-1352.01, Acceptance=93.33%, Samples=30
Update 202: Return=-1605.35, Acceptance=93.33%, Samples=30
Update 203: Return=-1823.16, Acceptance=93.33%, Samples=30
Update 204: Return=-2858.59, Acceptance=93.33%, Samples=30
Update 205: Return=-2037.48, Acceptance=93.33%, Samples=30
Update 206: Return=-2932.85, Acceptance=93.33%, Samples=30
Update 207: Return=-1232.09, Acceptance=96.67%, Samples=30
Update 208: Return=-1550.54, Acceptance=93.33%, Samples=30
Update 209: Return=-1529.66, Acceptance=96.67%, Samples=30
Update 210: Return=-1336.66, Acceptance=93.33%, Samples=30
Update 211: Return=-2343.20, Acceptance=93.33%, Samples=30
Update 212: Return=-1754.63, Acceptance=93.33%, Samples=30
Update 213: Return=-1422.55, Acceptance=96.67%, Samples=30
Update 214: Return=-1509.17, Acceptance=93.33%, Samples=30
Update 215: Return=-1397.67, Acceptance=96.67%, Samples=30
Update 216: Return=-2818.23, Acceptance=93.33%, Samples=30
Update 217: Return=-2367.66, Acceptance=93.33%, Samples=30
Update 218: Return=-2425.25, Acceptance=93.33%, Samples=30
Update 219: Return=-938.88, Acceptance=96.67%, Samples=30
Update 220: Return=-1985.40, Acceptance=96.67%, Samples=30
Update 221: Return=-1870.40, Acceptance=93.33%, Samples=30
Update 222: Return=-1711.97, Acceptance=93.33%, Samples=30
Update 223: Return=-1469.31, Acceptance=96.67%, Samples=30
Update 224: Return=-3095.49, Acceptance=93.33%, Samples=30
Update 225: Return=-1475.78, Acceptance=93.33%, Samples=30
Update 226: Return=-2460.54, Acceptance=93.33%, Samples=30
Update 227: Return=-2514.07, Acceptance=96.67%, Samples=30
Update 228: Return=-1616.60, Acceptance=96.67%, Samples=30
Update 229: Return=-2305.90, Acceptance=93.33%, Samples=30
Update 230: Return=-1938.67, Acceptance=93.33%, Samples=30
Update 231: Return=-1543.66, Acceptance=93.33%, Samples=30
Update 232: Return=-1892.67, Acceptance=93.33%, Samples=30
Update 233: Return=-2208.55, Acceptance=93.33%, Samples=30
Update 234: Return=-1400.60, Acceptance=96.67%, Samples=30
Update 235: Return=-1431.50, Acceptance=93.33%, Samples=30
Update 236: Return=-1936.41, Acceptance=96.67%, Samples=30
Update 237: Return=-1926.70, Acceptance=93.33%, Samples=30
Update 238: Return=-1585.79, Acceptance=93.33%, Samples=30
Update 239: Return=-1570.74, Acceptance=96.67%, Samples=30
Update 240: Return=-2892.71, Acceptance=93.33%, Samples=30
Update 241: Return=-1019.29, Acceptance=96.67%, Samples=30
Update 242: Return=-1945.15, Acceptance=93.33%, Samples=30
Update 243: Return=-2651.83, Acceptance=96.67%, Samples=30
Update 244: Return=-1413.57, Acceptance=96.67%, Samples=30
Update 245: Return=-1466.01, Acceptance=93.33%, Samples=30
Update 246: Return=-1789.30, Acceptance=93.33%, Samples=30
Update 247: Return=-1650.14, Acceptance=93.33%, Samples=30
Update 248: Return=-1869.14, Acceptance=96.67%, Samples=30
Update 249: Return=-2647.63, Acceptance=93.33%, Samples=30
Update 250: Return=-2967.97, Acceptance=93.33%, Samples=30
Update 251: Return=-1925.57, Acceptance=93.33%, Samples=30
Update 252: Return=-2071.82, Acceptance=93.33%, Samples=30
Update 253: Return=-2305.98, Acceptance=93.33%, Samples=30
Update 254: Return=-1754.04, Acceptance=93.33%, Samples=30
Update 255: Return=-1407.22, Acceptance=96.67%, Samples=30
Update 256: Return=-2081.21, Acceptance=93.33%, Samples=30
Update 257: Return=-2166.41, Acceptance=96.67%, Samples=30
Update 258: Return=-2216.78, Acceptance=96.67%, Samples=30
Update 259: Return=-1373.69, Acceptance=93.33%, Samples=30
Update 260: Return=-2160.91, Acceptance=93.33%, Samples=30
Update 261: Return=-1093.78, Acceptance=93.33%, Samples=30
Update 262: Return=-1747.45, Acceptance=93.33%, Samples=30
Update 263: Return=-2092.74, Acceptance=93.33%, Samples=30
Update 264: Return=-1958.39, Acceptance=93.33%, Samples=30
Update 265: Return=-1584.47, Acceptance=93.33%, Samples=30
Update 266: Return=-1708.44, Acceptance=93.33%, Samples=30
Update 267: Return=-3110.60, Acceptance=93.33%, Samples=30
Update 268: Return=-2515.93, Acceptance=93.33%, Samples=30
Update 269: Return=-2420.61, Acceptance=93.33%, Samples=30
Update 270: Return=-1907.07, Acceptance=96.67%, Samples=30
Update 271: Return=-1828.70, Acceptance=93.33%, Samples=30
Update 272: Return=-2154.70, Acceptance=93.33%, Samples=30
Update 273: Return=-1336.68, Acceptance=93.33%, Samples=30
Update 274: Return=-1728.82, Acceptance=93.33%, Samples=30
Update 275: Return=-1987.79, Acceptance=96.67%, Samples=30
Update 276: Return=-2802.38, Acceptance=93.33%, Samples=30
Update 277: Return=-2011.69, Acceptance=96.67%, Samples=30
Update 278: Return=-1553.36, Acceptance=93.33%, Samples=30
Update 279: Return=-2420.38, Acceptance=96.67%, Samples=30
Update 280: Return=-2263.95, Acceptance=96.67%, Samples=30
Update 281: Return=-1260.81, Acceptance=96.67%, Samples=30
Update 282: Return=-1211.45, Acceptance=96.67%, Samples=30
Update 283: Return=-1471.09, Acceptance=96.67%, Samples=30
Update 284: Return=-1666.30, Acceptance=93.33%, Samples=30
Update 285: Return=-1701.27, Acceptance=93.33%, Samples=30
Update 286: Return=-1726.01, Acceptance=93.33%, Samples=30
Update 287: Return=-1393.21, Acceptance=96.67%, Samples=30
Update 288: Return=-1914.62, Acceptance=93.33%, Samples=30
Update 289: Return=-2214.24, Acceptance=93.33%, Samples=30
Update 290: Return=-2434.26, Acceptance=93.33%, Samples=30
Update 291: Return=-1317.43, Acceptance=96.67%, Samples=30
Update 292: Return=-2141.11, Acceptance=93.33%, Samples=30
