Episode,Average_r_t
706,-14.128913
707,-10.709576
708,-6.952578
709,-6.648066
710,-10.080992
711,-6.381676
712,-10.519705
713,-10.899355
714,-10.145672
715,-10.079834
716,-6.682610
717,-10.297067
718,-12.488108
719,-10.246041
720,-13.672099
721,-15.763983
722,-7.500829
723,-8.057893
724,-6.417232
725,-9.315101
726,-10.262378
727,-8.771087
728,-10.754223
729,-10.087280
730,-8.366640
731,-8.354604
732,-15.853078
733,-13.712799
734,-9.432597
735,-9.882097
736,-5.533504
737,-7.012983
738,-7.956906
739,-6.500947
740,-8.869245
741,-8.862063
742,-12.560037
743,-8.204880
744,-7.490687
745,-11.994015
746,-6.217864
747,-10.550132
748,-9.595014
749,-7.097711
750,-5.862497
751,-12.212957
752,-10.467272
753,-8.369521
754,-7.747882
755,-11.456367
756,-7.149776
757,-11.806761
758,-9.653039
759,-7.539687
760,-8.533149
761,-14.575875
762,-10.097672
763,-8.006722
764,-8.563457
765,-12.536740
766,-8.465720
767,-12.255670
768,-12.403552
769,-7.708471
770,-9.456433
771,-8.930558
772,-8.499632
773,-9.897145
774,-10.665706
775,-5.486648
776,-8.351973
777,-7.534793
778,-7.000802
779,-11.157288
780,-9.444843
781,-9.208103
782,-10.475046
783,-9.807169
784,-7.264273
785,-7.925967
786,-10.896882
787,-8.217311
788,-8.421744
789,-7.797172
790,-14.391976
791,-5.668903
792,-11.156064
793,-12.182597
794,-8.364483
795,-9.057919
796,-8.632755
797,-6.932873
798,-9.792002
799,-11.412681
800,-10.546843
801,-7.690147
802,-9.610668
803,-12.582768
804,-6.529282
805,-13.183794
806,-10.117772
807,-13.322284
808,-10.476598
809,-9.630939
810,-10.058735
811,-10.602815
812,-10.322652
813,-9.552670
814,-7.046593
815,-7.529834
816,-10.083702
817,-9.352026
818,-13.955788
819,-8.326717
820,-9.957656
821,-10.837188
822,-11.200921
823,-10.150973
824,-9.025401
825,-9.313457
826,-10.896869
827,-12.144633
828,-8.128453
829,-9.854696
830,-11.087477
831,-12.510221
832,-11.829926
833,-11.474033
834,-9.213694
835,-8.341502
836,-12.802184
837,-9.980124
838,-6.053131
839,-6.679650
840,-6.787937
841,-15.907827
842,-8.158919
843,-7.000776
844,-10.128177
845,-7.300895
846,-12.463076
847,-8.867048
848,-8.509603
849,-8.347238
850,-7.989042
851,-9.207761
852,-8.773112
853,-11.186030
854,-9.035267
855,-11.852486
856,-10.302223
857,-8.907143
858,-7.788398
859,-8.152973
860,-7.978269
861,-9.949711
862,-10.406169
863,-7.185846
864,-12.632228
865,-7.043291
866,-7.584807
867,-12.805525
868,-10.929190
869,-8.292265
870,-8.566851
871,-8.923954
872,-10.959208
873,-5.003499
874,-10.728453
875,-8.427322
876,-13.370692
877,-11.533149
878,-8.107327
879,-11.448882
880,-7.477808
881,-15.927401
882,-9.705985
883,-11.977637
884,-5.904920
885,-7.063812
886,-13.793831
887,-10.510431
888,-9.194383
889,-9.889358
890,-10.031715
891,-13.884530
892,-7.843620
893,-11.830887
894,-8.705433
895,-11.054394
896,-13.377861
897,-10.262299
898,-9.117206
899,-8.023375
900,-9.028690
901,-10.774178
902,-11.954249
903,-8.484807
904,-7.618416
905,-11.007353
906,-9.254696
907,-9.330755
908,-8.816667
909,-10.464891
910,-10.423112
911,-8.372192
912,-10.190792
913,-9.427256
914,-8.689726
915,-12.983149
916,-8.414365
917,-10.225414
918,-7.938858
919,-7.099079
920,-13.541713
921,-5.363102
922,-9.820534
923,-7.102118
924,-7.235727
925,-6.733649
926,-8.841108
927,-8.692042
928,-11.396882
929,-15.025375
930,-9.160484
931,-7.529558
932,-13.181952
933,-8.208182
934,-6.375414
935,-13.313233
936,-7.171179
937,-11.378992
938,-8.743081
939,-6.752026
940,-7.946383
941,-11.465101
942,-8.240476
943,-8.322336
944,-9.657090
945,-11.933741
946,-10.685820
947,-8.359945
948,-8.532781
949,-7.384083
950,-6.581531
951,-10.354512
952,-8.988700
953,-11.162418
954,-9.704144
955,-10.757919
956,-9.943318
957,-8.285083
958,-10.823533
959,-8.061431
960,-11.018969
961,-6.764733
962,-8.688227
963,-9.437661
964,-7.634070
965,-10.689016
966,-9.597027
967,-7.513404
968,-11.082202
969,-10.593186
970,-8.160826
971,-5.823112
972,-11.151315
973,-8.265562
974,-6.042818
975,-7.763865
976,-9.293239
977,-10.505130
978,-12.623191
979,-11.950000
980,-8.912444
981,-7.068600
982,-11.404420
983,-9.628571
984,-8.177466
985,-7.690489
986,-9.299461
987,-10.255143
988,-6.271415
989,-7.481847
990,-5.639963
991,-8.351855
992,-7.200881
993,-10.725467
994,-11.750000
995,-7.089779
996,-6.346133
997,-8.163128
998,-12.667548
999,-12.604380
1000,-7.818219
1001,-7.315128
1002,-9.386017
1003,-10.876769
1004,-10.222691
1005,-12.294751
1006,-11.015193
1007,-13.401473
1008,-10.862076
1009,-9.508485
1010,-7.482623
1011,-8.109024
1012,-5.876296
1013,-7.956354
1014,-10.153867
1015,-7.734991
1016,-12.901289
1017,-9.724309
1018,-11.266943
1019,-6.799513
1020,-10.145225
1021,-10.421087
1022,-10.694988
1023,-8.803591
1024,-9.230203
1025,-10.097330
1026,-6.777716
1027,-8.226335
1028,-6.912707
1029,-14.611971
1030,-12.770074
1031,-8.736740
1032,-8.080479
1033,-10.939503
1034,-11.648343
1035,-11.172744
1036,-7.088871
1037,-13.693936
1038,-14.368482
1039,-9.042634
1040,-14.781873
1041,-7.322192
1042,-10.061694
1043,-12.165746
1044,-9.033794
1045,-12.034715
1046,-5.550000
1047,-10.133794
1048,-7.361234
1049,-7.965522
1050,-8.321073
1051,-7.201828
1052,-9.293423
1053,-7.910037
1054,-8.642068
1055,-7.181215
1056,-10.173573
1057,-10.708195
1058,-10.803591
1059,-12.885399
1060,-6.614825
1061,-9.288674
1062,-10.463168
1063,-13.491463
1064,-7.469429
1065,-8.438240
1066,-10.759629
1067,-11.553315
1068,-16.633794
1069,-9.188398
1070,-7.614917
1071,-8.212010
1072,-13.488358
1073,-11.438135
1074,-7.824770
1075,-11.139726
1076,-8.712339
1077,-7.631623
1078,-9.732505
1079,-5.611878
1080,-8.935478
1081,-11.418956
1082,-7.967798
1083,-5.853525
1084,-9.329150
1085,-7.022836
1086,-9.479203
1087,-6.899263
1088,-8.870021
1089,-11.142265
1090,-11.260313
1091,-9.020718
1092,-12.464062
1093,-9.640726
1094,-9.857866
1095,-8.783675
1096,-10.011418
1097,-8.519245
1098,-8.782373
1099,-10.769284
1100,-9.267259
1101,-7.496593
1102,-9.263707
1103,-11.005538
1104,-6.930045
1105,-10.579650
1106,-7.181084
1107,-8.484636
1108,-8.162484
1109,-11.901381
1110,-10.879453
1111,-9.110037
1112,-9.100276
1113,-8.357117
1114,-11.271442
1115,-8.059918
1116,-13.149895
1117,-11.046593
1118,-13.319258
1119,-6.103683
1120,-10.072560
1121,-9.090516
1122,-5.471087
1123,-10.661878
1124,-11.932991
1125,-9.391029
1126,-9.380505
1127,-8.390187
1128,-15.302289
1129,-7.328098
1130,-9.590174
1131,-5.571731
1132,-8.112983
1133,-13.002328
1134,-10.879348
1135,-7.156077
1136,-10.472152
1137,-8.373297
1138,-11.537109
1139,-5.977138
1140,-10.147474
1141,-6.762247
1142,-8.959550
1143,-7.862247
1144,-9.427716
1145,-15.393120
1146,-9.056906
1147,-8.718416
1148,-7.654407
1149,-8.531123
1150,-7.111984
1151,-5.744567
1152,-8.298356
1153,-7.409379
1154,-8.709997
1155,-15.412615
1156,-12.136411
1157,-7.091529
1158,-9.259024
1159,-7.860247
1160,-11.084465
1161,-11.968035
1162,-13.959866
1163,-9.714180
1164,-10.047698
1165,-10.502302
1166,-11.982768
1167,-14.725414
1168,-8.209458
1169,-12.975967
1170,-11.837385
1171,-7.649763
1172,-12.213457
1173,-13.627769
1174,-12.076677
1175,-8.583399
1176,-11.907814
1177,-7.305919
1178,-5.783149
1179,-5.911760
1180,-9.400671
1181,-14.712391
1182,-8.721810
1183,-7.604328
1184,-9.867364
1185,-14.326388
1186,-8.938740
1187,-12.972652
1188,-10.329190
1189,-15.712786
1190,-11.357695
1191,-8.648369
1192,-7.590792
1193,-7.510760
1194,-7.229308
1195,-5.372731
1196,-5.366180
1197,-8.898237
1198,-8.673283
1199,-13.184530
1200,-9.127914
