============================================================
PPO Training Summary
============================================================

Training Time: 20251210_134825
Total Updates: 200
Total Samples: 3000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 156: Return=-203.25, Acceptance=100.00%, Samples=15
Update 157: Return=-486.92, Acceptance=93.33%, Samples=15
Update 158: Return=-569.86, Acceptance=93.33%, Samples=15
Update 159: Return=-487.69, Acceptance=93.33%, Samples=15
Update 160: Return=-512.51, Acceptance=93.33%, Samples=15
Update 161: Return=-206.50, Acceptance=100.00%, Samples=15
Update 162: Return=-629.04, Acceptance=86.67%, Samples=15
Update 163: Return=-366.04, Acceptance=93.33%, Samples=15
Update 164: Return=-156.87, Acceptance=100.00%, Samples=15
Update 165: Return=-196.88, Acceptance=100.00%, Samples=15
Update 166: Return=-176.62, Acceptance=100.00%, Samples=15
Update 167: Return=-827.17, Acceptance=80.00%, Samples=15
Update 168: Return=-453.45, Acceptance=93.33%, Samples=15
Update 169: Return=-279.85, Acceptance=100.00%, Samples=15
Update 170: Return=-860.02, Acceptance=80.00%, Samples=15
Update 171: Return=-577.36, Acceptance=86.67%, Samples=15
Update 172: Return=-182.16, Acceptance=100.00%, Samples=15
Update 173: Return=-141.93, Acceptance=100.00%, Samples=15
Update 174: Return=-254.43, Acceptance=100.00%, Samples=15
Update 175: Return=-166.47, Acceptance=100.00%, Samples=15
Update 176: Return=-219.82, Acceptance=100.00%, Samples=15
Update 177: Return=-199.40, Acceptance=100.00%, Samples=15
Update 178: Return=-304.66, Acceptance=100.00%, Samples=15
Update 179: Return=-368.43, Acceptance=100.00%, Samples=15
Update 180: Return=-157.13, Acceptance=100.00%, Samples=15
Update 181: Return=-157.67, Acceptance=100.00%, Samples=15
Update 182: Return=-362.96, Acceptance=93.33%, Samples=15
Update 183: Return=-219.70, Acceptance=100.00%, Samples=15
Update 184: Return=-567.23, Acceptance=86.67%, Samples=15
Update 185: Return=-331.88, Acceptance=100.00%, Samples=15
Update 186: Return=-221.83, Acceptance=100.00%, Samples=15
Update 187: Return=-241.70, Acceptance=100.00%, Samples=15
Update 188: Return=-516.62, Acceptance=86.67%, Samples=15
Update 189: Return=-222.10, Acceptance=100.00%, Samples=15
Update 190: Return=-663.49, Acceptance=86.67%, Samples=15
Update 191: Return=-225.13, Acceptance=100.00%, Samples=15
Update 192: Return=-292.28, Acceptance=100.00%, Samples=15
Update 193: Return=-551.50, Acceptance=86.67%, Samples=15
Update 194: Return=-250.71, Acceptance=100.00%, Samples=15
Update 195: Return=-274.67, Acceptance=100.00%, Samples=15
Update 196: Return=-413.23, Acceptance=93.33%, Samples=15
Update 197: Return=-273.88, Acceptance=100.00%, Samples=15
Update 198: Return=-1021.89, Acceptance=73.33%, Samples=15
Update 199: Return=-242.15, Acceptance=100.00%, Samples=15
Update 200: Return=-340.87, Acceptance=100.00%, Samples=15

------------------------------------------------------------
Final Results:
------------------------------------------------------------
Final Average Return: -340.87
Final Acceptance Rate: 100.00%
Best Return: -116.77
Best Acceptance Rate: 100.00%
